x_N2_train,y_N2_train,x_N2_valid,y_N2_valid,x_H2_2.5,y_H2_2.5,x_H2_10,y_H2_10
2.9378120884463665e-07,9964375.966370426,2.888537676429145e-07,10008632.665560465,5.586875913533164e-07,880636.6163595854,4.734273083531853e-07,1709955.9907296991
2.966177079916216e-07,9608222.048042752,2.9042840977811394e-07,9940178.033418365,5.755984156180122e-07,785156.3624978887,4.842664524027132e-07,1645280.0015039914
2.994542071386066e-07,9105515.230733627,2.9200305191331335e-07,9917263.538094845,5.925092398827079e-07,701828.0658723556,4.951055964522411e-07,1582380.251961054
3.0229070628559157e-07,8490687.313184388,2.9357769404851277e-07,9952043.583463306,6.094200641474036e-07,630804.4109087818,5.05944740501769e-07,1521554.98470794
3.051272054325765e-07,7804811.62543187,2.951523361837122e-07,10050143.978590716,6.263308884120993e-07,571698.3232486873,5.167838845512969e-07,1462925.0158233088
3.0796370457956144e-07,7089663.175815044,2.967269783189116e-07,10210048.015964154,6.43241712676795e-07,523710.6764576854,5.276230286008248e-07,1406513.3777558915
3.1080020372654643e-07,6382630.04093569,2.9830162045411106e-07,10423340.802284954,6.601525369414908e-07,485764.61758166703,5.384621726503525e-07,1352340.3186739911
3.136367028735314e-07,5713266.881922787,2.9987626258931047e-07,10675819.951041885,6.770633612061865e-07,456634.7285227755,5.493013166998804e-07,1300511.4954451586
3.1647320202051635e-07,5101774.673427825,3.014509047245099e-07,10949342.981894167,6.939741854708822e-07,435060.77539081976,5.601404607494083e-07,1251277.3795582852
3.193097011675013e-07,4559215.798098702,3.0302554685970935e-07,11224155.512505405,7.108850097355779e-07,419838.5555211005,5.709796047989362e-07,1205048.9454147918
3.221462003144863e-07,4088954.310212339,3.0460018899490876e-07,11481356.626085144,7.277958340002737e-07,409883.6968285787,5.818187488484641e-07,1162365.8817385293
3.249826994614712e-07,3688698.5434315917,3.061748311301082e-07,11705129.393860206,7.447066582649693e-07,404267.50265456055,5.92657892897992e-07,1123825.067179062
3.278191986084562e-07,3352594.5531808506,3.077494732653076e-07,11884403.19035688,7.616174825296651e-07,402226.5831397922,6.034970369475199e-07,1089985.4777390389
3.3065569775544114e-07,3073002.1106156167,3.09324115400507e-07,12013712.156025693,7.785283067943609e-07,403149.93508976395,6.143361809970478e-07,1061269.1250484816
3.3349219690242607e-07,2841794.5895664124,3.108987575357064e-07,12093149.600074507,7.954391310590565e-07,406548.49494162283,6.251753250465757e-07,1037876.0170269536
3.3632869604941106e-07,2651192.349510581,3.124733996709059e-07,12127463.370200869,8.123499553237523e-07,412013.27766813565,6.360144690961036e-07,1019725.9813892513
3.3916519519639605e-07,2494232.791473099,3.140480418061053e-07,12124465.957672399,8.292607795884479e-07,419169.18872421555,6.468536131456314e-07,1006433.7052250176
3.42001694343381e-07,2365000.4989318997,3.156226839413047e-07,12093027.063457929,8.461716038531437e-07,427632.3244768292,6.576927571951593e-07,997317.520376086
3.448381934903659e-07,2258712.2659483813,3.171973260765041e-07,12040967.431974404,8.630824281178395e-07,436978.6236888755,6.685319012446872e-07,991438.4486722997
3.476746926373509e-07,2171706.2397426083,3.187719682117036e-07,11973180.986793919,8.799932523825351e-07,446730.52964744973,6.793710452942151e-07,987663.9203531179
3.505111917843359e-07,2101347.8676818134,3.20346610346903e-07,11890281.403403413,8.969040766472308e-07,456365.4627821436,6.90210189343743e-07,984749.7270693367
3.5334769093132083e-07,2045850.9243162428,3.219212524821024e-07,11788002.884444058,9.138149009119266e-07,465345.45118322497,7.010493333932709e-07,981433.2477641898
